years hunting,years hunted last 5,antlered harvest,antlerless harvest,land,land fee,trail cameras,hunt other states,which other state,archery bear,I hunt with the goal of harvesting an antlered deer only.,I do not care if I harvest an antlered or antlerless deer  as long as I get a deer.,archery hunt,archery wmu,archery days,archery antlered harvest,archery antlerless harvest,archery land,archery weapon,archery hunting camp,archery portable treestand,archery permanent treestand,archery urine lure,archery live in wmu,archery miles travelled,hunt opening day,firearm wmu,firearm antlered harvest,firearm antlerless harvest,days scouting,firearm land,Muzzleloader days,archery flintlock days,1st monday,1st tuesday,1st wednesday,1st thursday,1st friday,1st saturday,2nd monday,2nd tuesday,2nd wednesday,2nd thursday,2nd friday,2nd saturday,firearm hunting camp,firearm portable treestand,firearm permanent treestand,firearm urine lure,deer drive,firearm live in wmu,firearm miles travelled,age began,education,current home,start home,mentor,health,archery num,Base Hunting License,Resident Archery,Resident Muzzleloader,Non-resident Archery,Non-resident Muzzleloader,No. Antls Licenses - Resident,No. Antls Licenses - Resident Landowner,No. Antls Licenses for Special Regulations - Resident,No. Antls Licenses - Resident Military,No. Antls Licenses - Resident Disabled Vet,Priv 605,Priv 606,No. Antls Licenses - Non-resident,No. Antls Licenses - Non-resident Landowner,No. DMAP Permits - Resident,No. DMAP Permits - Non-resident,No. DMAP Permit - Resident,No. DMAP Permit - Non-resident
10,5,No,0,both,No,0,No,,No,Disagree,Agree,No,,,,,,,,,,,,,Yes,2C,No,,0,both,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,,Friday,Saturday,No,No,No,No,No,Yes,5,21,High school or less,Country/rural,County/rural,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,1,,,,,,,,,,,,
25,5,No,0,private,No,0,No,,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,2,private,0,0,Monday,Tuesday,,,,,,,,,,,Yes,Yes,Yes,No,Yes,No,25,50,College graduate,Country/rural,Suburban,Friend,Good (minor health problems or injuries),,Resident Senior,,,,,,,,,,,,,,,,,
38,5,No,0,private,Yes,0,Yes,CO,No,Strongly Agree,Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,0,private,0,0,Monday,,,,Friday,Saturday,,,,,,Saturday,No,No,No,No,No,Yes,2,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
48,5,No,0,private,Yes,4,Yes,TN,Yes,Strongly Agree,Strongly Disagree,Yes,2C,More than 15 days,No,0,private,vertical bow.,No,Yes,No,No,Yes,10,Yes,2C,No,0,10,private,0,0,Monday,,,,Friday,Saturday,,,,,,Saturday,No,Yes,No,No,No,Yes,10,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),20,Resident Adult,Yes,,,,,,,,,,,,,,,,
50,3,No,0,both,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2C,No,0,2,both,0,0,Monday,,,,,Saturday,Monday,,,,,,No,No,No,No,No,Yes,20,10,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Adult,,,,,,,,,,,,,,,,,
25,5,No,0,both,No,0,No,,No,Strongly Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2C,No,0,2,both,0,0,Monday,,,,Friday,Saturday,,,,,,Saturday,No,No,No,No,No,Yes,1,12,Some college/vocational training,Rural town/village,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
57,5,No,0,public,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,No,2C,No,0,1,public,0,0,Monday,,,,,,,,,,,Saturday,No,No,No,No,No,No,20,12,High school or less,Rural town/village,County/rural,Parent or Grandparent,Poor (significant health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,1,,,,,,,,,,,,
53,5,No,0,both,No,0,No,,No,Neither Agree nor Disagree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,0,both,1,0,Monday,Tuesday,,,,Saturday,,,,,,,No,Yes,No,No,No,Yes,10,13,Some college/vocational training,Suburban,Rural town/village,Relative,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Senior,,Yes,,,1,,,,,,,,,,,,
42,5,No,0,public,No,1,Yes,,No,Agree,Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,14,public,,,Monday,Tuesday,,Thursday,Friday,Saturday,Monday,,,Thursday,Friday,Saturday,No,No,No,Yes,Yes,No,30,12,College graduate,Rural town/village,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
66,5,No,0,both,No,0,No,,No,Disagree,Agree,No,,,,,,,,,,,,,Yes,2C,No,0,0,both,0,0,Monday,Tuesday,,,Friday,Saturday,Monday,Tuesday,,,,Saturday,No,No,No,No,No,Yes,10,12,High school or less,Suburban,Suburban,Relative,Good (minor health problems or injuries),,Resident Senior,,,,,1,,,,,,,,,,,,
30,5,No,0,private,Yes,4,No,,No,Agree,Disagree,Yes,2C,3-5 days,No,0,private,crossbow,,Yes,Yes,No,Yes,20,Yes,2C,No,0,7,both,0,7,Monday,Tuesday,,,,Saturday,,,,,Friday,Saturday,Yes,Yes,Yes,No,Yes,Yes,20,12,College graduate,Country/rural,Rural town/village,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),4,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
12,5,No,1,both,No,0,No,,No,Agree,Agree,Yes,2C,More than 15 days,No,0,private,vertical bow.,No,Yes,No,No,Yes,2,Yes,2C,No,1,2,public,0,0,Monday,,,,Friday,Saturday,,,,,Friday,Saturday,No,No,No,No,Yes,Yes,20,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),20,Resident Adult,Yes,,,,1,,,,,,,,,,,,
51,5,No,0,public,No,0,No,,No,Disagree,Agree,No,,,,,,,,,,,,,Yes,2C,No,0,8,public,0,0,Monday,Tuesday,Wednesday,,Friday,Saturday,Monday,,Wednesday,Thursday,Friday,Saturday,No,No,No,No,No,Yes,8,13,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
36,5,No,1,private,No,1,No,,No,Agree,Strongly Agree,Yes,2C,11-15 days,No,1,private,vertical bow.,No,No,Yes,No,Yes,0,Yes,2C,No,1,5,private,0,0,Monday,Tuesday,,,,Saturday,,,,,,Saturday,No,No,Yes,No,No,Yes,0,12,College graduate,Country/rural,Suburban,Parent or Grandparent,Good (minor health problems or injuries),13,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
58,5,No,0,public,No,0,No,,No,,Agree,No,,,,,,,,,,,,,Yes,2C,No,1,4,public,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,,Wednesday,,,Saturday,,,,,,,30,24,High school or less,Country/rural,County/rural,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,2,,,,,,,,,,,,
45,2,No,0,private,No,0,No,,No,Neither Agree nor Disagree,Agree,No,,,,,,,,,,,,,No,2C,No,0,0,both,0,0,,,,,,Saturday,,,,,,,No,Yes,No,No,No,Yes,7,16,High school or less,Country/rural,Rural town/village,Relative,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,1,,,,,,,,,,,,
52,5,No,0,both,No,0,No,,No,Agree,Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,10,both,2,8,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,,Friday,,No,Yes,No,No,No,Yes,10,12,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,Yes,,,,,,,,,,,,,,,
4,4,Yes,0,private,No,4,No,,No,Strongly Disagree,Strongly Disagree,Yes,2C,1-2 days,Yes,0,private,crossbow,No,No,Yes,No,Yes,1,Yes,2C,Yes,0,15,private,0,0,Monday,,,,,,,,,,,,No,No,Yes,No,No,Yes,1,9,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),2,Resident Junior,,,,,,,,,,,,,,,,,
50,5,No,0,private,No,0,No,,No,Strongly Agree,Strongly Agree,No,,,,,,,,,,,,,Yes,2C,No,0,0,private,0,0,Monday,Tuesday,,,,Saturday,,,,,,Saturday,No,No,No,No,No,Yes,30,14,High school or less,Rural town/village,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,Yes,,,,1,,,,,,,,,,,,
55,5,No,0,both,No,0,No,,Yes,Neither Agree nor Disagree,Neither Agree nor Disagree,Yes,2C,More than 15 days,No,0,both,crossbow,No,Yes,No,No,Yes,2,Yes,2C,No,0,7,private,5,5,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,Thursday,Friday,Saturday,No,Yes,No,No,No,Yes,4,14,High school or less,Country/rural,County/rural,No one,Fair (some health problems or injuries that affect my daily life and mobility),20,Resident Senior,,,,,1,,,,,,,,,,,,
10,5,No,0,public,No,1,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,Yes,2C,6-10 days,,0,private,both,No,No,Yes,No,Yes,10,Yes,2C,No,0,10,private,0,2,Monday,,,,,Saturday,,,,,Friday,Saturday,No,No,Yes,No,No,Yes,10,12,Some college/vocational training,,Rural town/village,Parent or Grandparent,Excellent (no health problems or injuries),8,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
51,5,No,0,private,No,0,No,,No,Disagree,Agree,No,,,,,,,,,,,,,Yes,2C,No,0,4,private,,,Monday,Tuesday,,,Friday,Saturday,,,,,Friday,Saturday,Yes,No,No,No,Yes,Yes,60,15,College graduate,Rural town/village,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),,Resident Senior,,Yes,,,1,,,,,,,,,,,,
32,5,No,0,public,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2C,No,0,1,public,3,6,Monday,,,,Friday,Saturday,,,,,Friday,Saturday,No,No,No,No,No,Yes,3,12,Some college/vocational training,Rural town/village,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,Yes,,,1,,,,,,,,,,,,
2,2,No,0,private,No,0,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,0,private,0,0,Monday,,,,,Saturday,,,,,,Saturday,No,Yes,Yes,No,No,Yes,0,14,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Junior,,,,,,,,,,,,,,,,,
64,5,No,0,both,No,0,No,,No,,Agree,Yes,2C,3-5 days,Yes,8,both,crossbow,No,No,Yes,Yes,Yes,1,No,2C,No,1,0,both,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,Yes,Yes,No,Yes,1,15,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),4,Resident Senior,,,,,1,,,,,,,,,,,,
39,5,No,1,private,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2C,No,1,0,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,,,,No,Yes,No,No,No,Yes,1,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,Yes,,,1,,,,,,,,,,,,
36,5,No,0,both,No,0,No,,No,Agree,Agree,No,,,,,,,,,,,,,No,2C,No,0,0,both,0,0,,,,,,Saturday,,,,,,Saturday,No,No,Yes,No,No,Yes,17,12,High school or less,Suburban,Suburban,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
29,5,No,0,both,No,2,Yes,MD,No,Neither Agree nor Disagree,Neither Agree nor Disagree,Yes,2C,3-5 days,No,0,both,both,Yes,Yes,Yes,No,No,60,Yes,2C,No,0,5,both,0,3,Monday,,Wednesday,Thursday,,Saturday,,,,,,Saturday,Yes,No,Yes,No,Yes,No,60,12,College graduate,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),4,Non-Resident Adult,,,Yes,Yes,,,,,,,,,,,,,
61,5,Yes,1,private,No,4,No,,No,Disagree,Agree,Yes,2C,6-10 days,No,0,private,crossbow,No,No,No,No,Yes,15,Yes,2C,Yes,1,0,private,0,0,Monday,,,,,Saturday,,,,,,,No,No,Yes,No,No,Yes,15,12,High school or less,Rural town/village,County/rural,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),8,Resident Senior,,,,,1,,,,,,,,,,,,
12,5,No,0,both,No,,Yes,,No,Agree,Strongly Agree,Yes,2C,1-2 days,No,,both,crossbow,No,No,No,No,Yes,15,Yes,2C,No,0,14,both,,6,Monday,,,,,Saturday,,,,,,Saturday,No,No,No,No,No,Yes,15,12,High school or less,Country/rural,County/rural,Relative,Fair (some health problems or injuries that affect my daily life and mobility),2,Resident Adult,Yes,,,,1,,,,,,,,,,,,
53,5,No,1,both,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2C,Yes,10,0,private,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,No,No,No,Yes,0,18,High school or less,Rural town/village,Rural town/village,No one,Excellent (no health problems or injuries),,Resident Senior,,Yes,,,1,,,,,,,,,,,,
61,5,No,0,private,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,Yes,2C,6-10 days,No,0,private,crossbow,No,No,No,No,Yes,0,Yes,2C,No,0,0,private,0,0,Monday,Tuesday,,,,Saturday,,Tuesday,,,,Saturday,No,No,No,No,No,Yes,0,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Poor (significant health problems or injuries that affect my daily life and mobility),8,Resident Senior,,,,,,,,,,,,,,,,,
50,5,No,0,private,No,2,No,,No,Agree,Agree,No,,,,,,,,,,,,,Yes,2C,No,0,21,private,0,0,Monday,,,,,Saturday,,,,,,Saturday,No,No,Yes,No,No,Yes,0,12,High school or less,Country/rural,Rural town/village,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
11,5,No,0,public,No,0,Yes,MD,No,Neither Agree nor Disagree,Neither Agree nor Disagree,Yes,2C,3-5 days,No,0,public,vertical bow.,Yes,Yes,Yes,Yes,No,100,Yes,2C,No,0,2,public,0,0,Monday,Tuesday,,,,Saturday,,,,,,,Yes,Yes,Yes,Yes,Yes,No,100,12,High school or less,Country/rural,County/rural,Relative,Excellent (no health problems or injuries),4,Resident Adult,Yes,,,,1,,5,,,,,,,,,,
48,5,No,0,both,No,1,No,,No,Agree,,No,,,,,,,,,,,,,Yes,2C,No,0,5,both,0,0,Monday,Tuesday,Wednesday,,Friday,Saturday,Monday,,Wednesday,,Friday,Saturday,No,No,No,No,Yes,Yes,5,12,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
47,5,No,0,private,No,0,No,,No,Strongly Agree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,24,private,,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,,Yes,No,No,Yes,3,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
60,5,No,0,private,No,0,,,,,,,[Select the WMU],,,,,,,,,,,,,2C,Yes,1,0,private,0,4,Monday,,,,,,,,,,,,No,No,No,No,No,Yes,6,16,High school or less,Suburban,County/rural,Relative,Fair (some health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,1,,,,,,,,,,,,
,,No,0,both,No,0,No,,No,Agree,Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,10,both,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,,,Saturday,No,No,No,No,No,Yes,5,14,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Senior,,,,,,,,,,,,,,,,,
42,5,No,0,both,No,0,No,,No,Strongly Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2C,No,0,0,public,0,0,Monday,Tuesday,,,,Saturday,,,,,,,No,No,No,No,No,Yes,20,16,High school or less,City,City,No one,Good (minor health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
67,5,No,0,private,No,0,No,,No,Disagree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2C,No,0,2,private,0,0,Monday,Tuesday,,,,Saturday,,,,,Friday,Saturday,No,Yes,No,No,No,No,12,13,High school or less,Country/rural,County/rural,Relative,Poor (significant health problems or injuries that affect my daily life and mobility),,Resident Senior,,,,,1,,,,,,,,,,,,
50,5,Yes,0,private,No,1,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2C,Yes,,0,private,0,,Monday,,,,,,Monday,,,,,Saturday,No,No,No,No,No,Yes,0,15,College graduate,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Landowner,,Yes,,,,1,,,,,,,,,,,
54,5,No,1,private,No,3,Yes,IN,No,Agree,Neither Agree nor Disagree,Yes,2E,More than 15 days,No,1,private,crossbow,No,Yes,No,No,Yes,0,Yes,2E,No,1,20,private,0,0,Monday,Tuesday,,,,Saturday,,,,,Friday,Saturday,No,No,Yes,No,No,Yes,0,12,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),20,Resident Senior,,,,,1,,,,,,,,,,,,
15,5,No,0,public,No,0,No,,No,Strongly Disagree,Disagree,No,,,,,,,,,,,,,No,2E,No,0,0,both,0,5,,,,,,Saturday,,,,,,Saturday,No,No,No,No,Yes,No,15,12,High school or less,Rural town/village,Rural town/village,Relative,Good (minor health problems or injuries),,Resident Adult,Yes,Yes,,,2,,,,,,,,,,,,
36,5,No,0,private,No,1,No,,No,Disagree,Agree,Yes,[Select the WMU],3-5 days,No,0,private,vertical bow.,No,Yes,No,No,No,3,Yes,2E,No,0,2,private,0,0,Monday,,,,,Saturday,,,,,,Saturday,No,Yes,No,No,No,Yes,3,12,Some college/vocational training,Rural town/village,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),4,Resident Adult,Yes,,,,1,,,,,,,,,,,,
26,5,No,0,private,Yes,0,No,,No,Strongly Agree,Disagree,Yes,2E,3-5 days,No,0,private,both,No,Yes,Yes,Yes,No,90,Yes,2E,No,0,5,private,0,0,Monday,,,,,Saturday,,,,,,Saturday,No,Yes,Yes,Yes,No,No,90,12,College graduate,Suburban,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),4,Resident Adult,Yes,,,,,,,,,,,,,,,,
40,5,No,0,private,,0,No,,No,Agree,Disagree,No,,,,,,,,,,,,,Yes,2E,No,0,1,private,0,0,Monday,Tuesday,Wednesday,,,,,,,,,,No,Yes,No,No,No,No,150,12,College graduate,Suburban,Rural town/village,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,,,,,,,,,,,,,
16,5,No,1,both,No,6,No,,No,Neither Agree nor Disagree,Agree,Yes,2E,6-10 days,Yes,1,private,both,No,Yes,Yes,No,No,60,Yes,2E,No,0,3,private,0,0,Monday,,,,,Saturday,,,,,,Saturday,No,Yes,Yes,No,Yes,No,60,12,College graduate,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),8,Resident Adult,Yes,,,,2,,,,,,,,,,,,
28,5,No,1,private,No,0,No,,No,Disagree,Strongly Agree,Yes,2E,11-15 days,No,0,,crossbow,No,Yes,No,Yes,Yes,5,Yes,2E,No,1,6,private,0,0,Monday,,,,,Saturday,,,,,Friday,Saturday,No,No,No,No,Yes,Yes,5,12,High school or less,Rural town/village,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),13,Resident Adult,Yes,,,,1,,,,,,,,,,,,
30,5,No,0,private,No,0,No,,No,Agree,Neither Agree nor Disagree,Yes,2E,6-10 days,No,0,private,vertical bow.,Yes,Yes,Yes,No,Yes,5,Yes,2E,No,0,5,private,0,3,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Yes,Yes,No,No,Yes,Yes,5,12,College graduate,Rural town/village,County/rural,Parent or Grandparent,Good (minor health problems or injuries),8,Resident Adult,Yes,,,,1,,,,,,,,,,,,
14,5,No,1,private,No,0,No,,No,Neither Agree nor Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2E,No,0,0,private,0,0,Monday,,,,,Saturday,,,,,,,No,No,Yes,No,No,No,40,13,College graduate,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,Yes,,,,1,,,,,,,,,,,,
40,5,No,0,private,No,0,No,,No,Strongly Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2E,No,0,6,private,0,0,Monday,Tuesday,,Thursday,,Saturday,Monday,Tuesday,,,,Saturday,No,No,No,No,No,Yes,0,15,College graduate,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),,Resident Senior,,,,,2,,,,,,,,,,,,
55,5,No,0,private,No,0,No,,No,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,2E,No,0,0,private,0,0,Monday,Tuesday,Wednesday,,,,,,,,,,Yes,No,Yes,No,No,Yes,5,13,College graduate,Suburban,Suburban,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Senior,,,,,,,,,,,,,,,,,
55,5,No,0,both,No,2,No,,No,Neither Agree nor Disagree,Strongly Disagree,Yes,2E,More than 15 days,No,0,both,crossbow,No,Yes,No,Yes,Yes,5,Yes,2E,No,0,10,both,0,5,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,,,,Friday,Saturday,No,Yes,No,Yes,No,Yes,5,12,College graduate,Country/rural,County/rural,Other adult,Excellent (no health problems or injuries),20,Resident Senior,,,,,,,,,,,,,,,,,
32,5,No,0,,No,0,No,,No,Agree,Agree,No,,,,,,,,,,,,,Yes,2E,No,0,15,both,0,5,Monday,,,,,Saturday,Monday,Tuesday,Wednesday,Thursday,,Saturday,No,Yes,No,No,No,Yes,23,13,Some college/vocational training,Country/rural,County/rural,Relative,Excellent (no health problems or injuries),,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
8,5,Yes,0,public,No,0,No,,No,Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2E,Yes,0,0,public,0,0,Monday,Tuesday,Wednesday,,,,,,,Thursday,Friday,Saturday,Yes,No,No,No,No,No,100,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,1,,,,,,,,,,,,
41,5,No,0,both,No,1,No,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2E,No,0,3,both,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,,Monday,Tuesday,Wednesday,Thursday,Friday,,Yes,No,No,No,No,No,50,12,College graduate,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,,,,2,,,,,,,,,,,,
35,5,Yes,0,private,No,0,No,,No,Disagree,Strongly Agree,Yes,2B,6-10 days,Yes,0,private,both,No,Yes,No,No,No,15,No,2E,No,0,3,private,0,0,,,,Thursday,Friday,Saturday,,,,,,,Yes,Yes,No,No,No,No,92,16,Some college/vocational training,Rural town/village,County/rural,Friend,Excellent (no health problems or injuries),8,Resident Adult,Yes,,,,,,2,,,,,,,,,,
14,5,No,1,private,No,3,No,,No,Strongly Disagree,Strongly Agree,No,,,,,,,,,,,,,No,2E,No,1,5,private,1,10,,,,,,Saturday,,,,,,Saturday,No,No,No,No,Yes,Yes,20,12,College graduate,Rural town/village,Rural town/village,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,Yes,,,1,,,,,,,,,,,,
49,5,No,0,both,No,0,No,,No,Strongly Disagree,Agree,Yes,2E,11-15 days,No,0,public,both,No,No,Yes,No,Yes,25,Yes,2E,No,0,10,both,3,10,Monday,Tuesday,Wednesday,Thursday,Friday,,,,,Thursday,Friday,Saturday,No,No,Yes,No,No,Yes,25,12,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),13,Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
39,5,No,0,both,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,No,,,,,,,,,,,,,Yes,2E,No,0,6,both,3,5,Monday,Tuesday,Wednesday,,,,,,,,Friday,Saturday,No,No,No,No,Yes,No,15,12,Some college/vocational training,Rural town/village,Rural town/village,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Adult,,Yes,,,2,,,,,,,,,,,,
5,3,No,0,private,No,0,Yes,MD,No,Neither Agree nor Disagree,Neither Agree nor Disagree,No,,,,,,,,,,,,,Yes,2E,No,0,2,private,0,1,Monday,Tuesday,Wednesday,,,,,,,Thursday,Friday,Saturday,No,Yes,No,No,No,No,200,16,Some college/vocational training,Suburban,Suburban,Parent or Grandparent,Good (minor health problems or injuries),,Non-Resident Adult,,,,,,,,,,,,,,,,,
47,5,No,0,both,No,0,No,,No,Neither Agree nor Disagree,Strongly Disagree,Yes,2E,11-15 days,No,0,both,crossbow,No,No,No,Yes,Yes,14,Yes,2E,No,0,25,both,0,25,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,No,No,No,No,Yes,Yes,15,16,Some college/vocational training,Rural town/village,County/rural,Relative,Fair (some health problems or injuries that affect my daily life and mobility),13,Resident Adult,Yes,,,,2,,,,,,,,,,,,
6,5,No,0,both,No,0,No,,No,Neither Agree nor Disagree,Strongly Agree,Yes,2E,More than 15 days,No,0,both,both,No,No,No,No,Yes,15,Yes,2E,No,0,15,public,0,7,Monday,,,,,Saturday,,,,,Friday,Saturday,No,No,No,No,No,Yes,15,30,High school or less,Rural town/village,Rural town/village,Friend,Good (minor health problems or injuries),20,Resident Adult,Yes,,,,1,,,,,,,,,,,,
10,5,No,0,private,No,0,No,,No,Strongly Disagree,Agree,No,,,,,,,,,,,,,Yes,2E,No,0,0,private,0,0,Monday,,,,,Saturday,,Tuesday,,,,Saturday,No,No,No,No,No,Yes,2,21,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),,Resident Senior,,,,,1,,,,,,,,,,,,
3,3,No,0,private,No,0,Yes,CO WV,No,Disagree,Neither Agree nor Disagree,Yes,2E,1-2 days,No,0,,vertical bow.,Yes,Yes,Yes,No,No,90,Yes,2E,No,0,0,private,2,0,Monday,Tuesday,Wednesday,,,,,,,Thursday,Friday,Saturday,Yes,No,Yes,No,No,No,90,14,Some college/vocational training,Country/rural,County/rural,Relative,Excellent (no health problems or injuries),2,Non-Resident Adult,,,,Yes,,,,,,,,1,,,,,
56,5,Yes,1,private,No,0,No,,No,Disagree,Strongly Disagree,Yes,2E,11-15 days,Yes,1,private,crossbow,No,Yes,Yes,No,No,55,Yes,2E,Yes,1,0,private,0,0,Monday,,,,,,,,,,,Saturday,No,No,Yes,No,No,No,55,12,High school or less,Country/rural,County/rural,Parent or Grandparent,Good (minor health problems or injuries),13,Resident Senior,,,,,1,,,,,,,,,,,,
